,url,date,content,id,username,outlinks,outlinksss,tcooutlinks,tcooutlinksss
332,https://twitter.com/cryptohouse007/status/1376094497302532096,2021-03-28 08:51:09+00:00,@vow2truth @OdauduEne @giwajos1 @fkeyamo @EndSars Idiot,1376094497302532096,cryptohouse007,[],,[],
333,https://twitter.com/DJayFM1/status/1376081634374606849,2021-03-28 08:00:02+00:00,@vow2truth @giwajos1 @fkeyamo @EndSars Hijacked by government sponsored thugs.. Get that right,1376081634374606849,DJayFM1,[],,[],
334,https://twitter.com/OdauduEne/status/1376067079040864256,2021-03-28 07:02:12+00:00,@rotimark @vow2truth @giwajos1 @fkeyamo @EndSars because you are a 🤡🤡🤡🤡 https://t.co/GsyNNlNkQS,1376067079040864256,OdauduEne,[],,[],
335,https://twitter.com/OdauduEne/status/1376066794167881728,2021-03-28 07:01:04+00:00,"@vow2truth @giwajos1 @fkeyamo @EndSars You are already walking corpse . What is the essence of living when you sold your conscience for morsel . The terror you euolised today will definitely come for you just wait it is enough for everyone , doesn't spare asslicker .",1376066794167881728,OdauduEne,[],,[],
336,https://twitter.com/rotimark/status/1376065996411244544,2021-03-28 06:57:54+00:00,"@OdauduEne @vow2truth @giwajos1 @fkeyamo @EndSars The ""we will never forget"" line always crack me up.  🤣😆🤣🤣🤣",1376065996411244544,rotimark,[],,[],
337,https://twitter.com/vow2truth/status/1376065037018742785,2021-03-28 06:54:05+00:00,"@OdauduEne @giwajos1 @fkeyamo @EndSars Don’t forget oh, d day u forget u will die",1376065037018742785,vow2truth,[],,[],
338,https://twitter.com/OdauduEne/status/1376060274713767937,2021-03-28 06:35:10+00:00,@vow2truth @giwajos1 @fkeyamo @EndSars It was hijacked by state sponsored thugs we saw them here and we will never forget.,1376060274713767937,OdauduEne,[],,[],
339,https://twitter.com/Official_H2D/status/1376052838703456262,2021-03-28 06:05:37+00:00,"@vow2truth @giwajos1 @fkeyamo @EndSars ...and other hoodlums in govt air conditioned executive buses and SUVs to disrupt the PEACEFUL protest, while the police stood by and watched?

I can go on and on... But there's no need.

The govt knows the truth about this #EndSARS matter.",1376052838703456262,Official_H2D,[],,[],
340,https://twitter.com/Official_H2D/status/1376051950555435009,2021-03-28 06:02:05+00:00,"@vow2truth @giwajos1 @fkeyamo @EndSars Was it the fault of those who carried placards and called govt's attention to the gruesome murdering, maiming and extortion of her citizens by men of the Nigerian police, or those who sent this👇 guy... https://t.co/TMX3EBz4y0",1376051950555435009,Official_H2D,[],,[],
341,https://twitter.com/Official_H2D/status/1376051322227720195,2021-03-28 05:59:35+00:00,"@vow2truth @giwajos1 @fkeyamo @EndSars Whose fault was it... Those who were peacefully and rightfully asking not to be killed or the govt who stood back, allowed and encouraged the hijackers to have a field day?",1376051322227720195,Official_H2D,[],,[],
342,https://twitter.com/vow2truth/status/1376038613838860289,2021-03-28 05:09:05+00:00,@JohnAgb03209394 @giwajos1 @fkeyamo @EndSars Y do u choose the DSS?,1376038613838860289,vow2truth,[],,[],
343,https://twitter.com/JohnAgb03209394/status/1376017095964696576,2021-03-28 03:43:35+00:00,@vow2truth @giwajos1 @fkeyamo @EndSars By the dss,1376017095964696576,JohnAgb03209394,[],,[],
344,https://twitter.com/vow2truth/status/1376001254460121090,2021-03-28 02:40:38+00:00,@giwajos1 @fkeyamo @EndSars The beginning was genuine but was later hijacked,1376001254460121090,vow2truth,[],,[],
345,https://twitter.com/pressssssley_/status/1375960956237385732,2021-03-28 00:00:30+00:00,@giwajos1 @fkeyamo @EndSars He lost it a long time ago. 🥴🥴,1375960956237385732,pressssssley_,[],,[],
346,https://twitter.com/giwajos1/status/1375959477304881152,2021-03-27 23:54:38+00:00,"@fkeyamo I've been looking for the sense it this epistle, but I realized that it is a meant to be a tabularasa. People like you still feel that @ENDSARS was not a gunuine course then there's no hope for this country.
You will need to look back sir, you're loosing it.",1375959477304881152,giwajos1,[],,[],
347,https://twitter.com/people_pirate/status/1375886916000841735,2021-03-27 19:06:18+00:00,"@ENDSARS was our only window to freedom but we don't want to die for freedom we rather stay alive in chains..

Lagos was energized 100% for the birth of a new generational mindset..

We are delibratly silenced but if we refuse to stand down we will win.
@endsarsbot_ @simplyEromz",1375886916000841735,people_pirate,[],,[],
348,https://twitter.com/Yinkzworld2/status/1375204765773234184,2021-03-25 21:55:40+00:00,@JoDan0018 @XerxesEmperor @aproko_doctor @EndSars He did not reason deeper to that level,1375204765773234184,Yinkzworld2,[],,[],
349,https://twitter.com/JoDan0018/status/1375197833322713088,2021-03-25 21:28:08+00:00,@XerxesEmperor @Yinkzworld2 @aproko_doctor Do you know how many people need money for business in that @endsars movement but people choose to give him a leg!?,1375197833322713088,JoDan0018,[],,[],
350,https://twitter.com/BStevyoma/status/1374956090270580737,2021-03-25 05:27:32+00:00,"@super_kay001 @SavvyRinu @SavvyRinu  is growing coz she has the mindset of a tigeress not the mindset of Pizza n Coldstone Ice Cream like those lazy Nigeria babes
Even after the @EndSars protest she was still strong even more than most guys. I just love U  @SavvyRinu for ur strong zeal.",1374956090270580737,BStevyoma,[],,[],
351,https://twitter.com/BdwOplay/status/1374800029995651074,2021-03-24 19:07:24+00:00,We need freedom @seunanikulapokuti @BurnaBoySource @davido @augustusrecords @williamOgee @endsars @2babaofficial @bursttheworldentertainment https://t.co/ii8uqnguem,1374800029995651074,BdwOplay,[],,[],
352,https://twitter.com/NonnyMyles/status/1374480324042747908,2021-03-23 21:57:00+00:00,"https://t.co/Cy7kKOWy8I

@endsars @USATODAY @IndiaToday @googleafrica @binance @tyler @bgarlinghouse @BinanceChain @BBCBreaking @verified @CoinMarketCap @coin @BinanceUS @BBCWorld @trading @ftfinancenews @smartasset @InvestTurkey @EU_Commission @Australia @BTCTN @FiverrAffiliate",1374480324042747908,NonnyMyles,['https://accounts.binance.com/en/register?ref=DE2TQA1O&utm_campaign=web_share_copy'],https://accounts.binance.com/en/register?ref=DE2TQA1O&utm_campaign=web_share_copy,['https://t.co/Cy7kKOWy8I'],https://t.co/Cy7kKOWy8I
